Grain density (g cm-3),Total porosity (-),Connected porosity (-),Intrinsic permeability (m2),Liquid apparent permeability (m2),Gas apparent permeability (m2),Thermal conductivity (W m-1 K-1)
2.59,0.190,0.140,,,,
2.48,0.210,0.100,,,,
3.07,0.110,0.040,,,,
3.08,0.110,0.050,,,,
2.57,0.180,0.130,,,,
3.07,0.140,0.070,,,,
2.86,0.120,0.110,,,,
2.51,0.160,0.110,,,,
2.57,0.030,0.020,,,,
2.56,0.050,0.040,,,,
2.49,0.050,0.050,,,,
2.49,0.160,0.100,,,,
2.49,0.190,0.130,,,,
2.45,0.130,0.110,,,,
2.43,0.180,0.160,,,,
3.00,0.030,0.040,,,,
2.94,,0.025,,,,
2.92,,0.080,,,,
2.94,,0.190,,,,
3.05,,0.090,,,,
2.76,,0.070,,,,
3.04,,0.110,,,,
2.99,,0.100,,,,
3.01,,0.080,,,,
,,0.450,,,,
2.71,0.067,0.062,1.97E-18,,3.95E-18,
2.67,0.079,0.071,8.78E-17,8.58E-16,1.06E-16,
2.86,0.037,0.006,,,,
2.94,0.042,0.039,,,,
3.06,0.195,0.194,9.30E-16,,1.36E-15,
3.01,0.055,0.050,,,,
2.98,0.054,0.031,,,,
2.78,0.171,0.171,1.05E-16,,1.63E-16,
2.95,0.045,0.043,,,,
2.74,0.023,0.020,,,,
2.66,0.149,0.147,1.05E-16,3.95E-17,1.73E-16,
2.91,0.187,0.185,3.95E-18,,1.09E-17,
2.85,0.342,0.342,4.87E-16,2.76E-16,8.98E-16,
2.35,0.237,0.234,2.96E-17,,7.40E-17,
2.96,0.021,0.003,,,,
3.05,0.221,0.218,4.74E-17,,8.78E-17,
2.93,0.011,0.002,,,,
2.78,0.013,0.002,,,,
2.85,0.100,0.094,,,,
2.86,0.054,0.051,4.93E-18,,9.87E-18,
2.85,0.023,0.004,,,,
3.00,0.160,0.153,1.01E-16,3.55E-17,1.74E-16,
,,0.000,,,,
2.65,0.216,0.186,,,,
2.64,0.223,0.217,5.92E-18,,8.88E-18,
2.83,0.191,0.188,3.95E-18,,9.87E-18,
2.78,0.077,0.036,1.48E-17,2.27E-16,2.86E-17,
2.79,0.169,0.166,1.97E-18,,5.92E-18,
2.84,0.012,0.004,,,,
2.78,0.007,0.002,,,,
2.73,0.020,0.002,5.92E-18,,7.90E-18,
2.86,0.017,0.013,,,,
2.89,0.027,0.026,,,,
2.81,0.041,0.037,6.91E-18,9.87E-19,7.90E-18,
2.94,0.012,0.001,,,,
3.09,0.137,0.054,9.87E-19,,1.97E-18,
2.93,0.169,0.169,7.90E-18,,1.78E-17,
2.98,0.014,0.006,,,,
2.67,0.079,0.070,6.91E-18,9.87E-18,1.58E-17,
3.05,0.008,0.003,,,,
2.96,0.040,0.034,2.94E-16,,3.14E-16,
2.86,0.130,0.009,,,,
2.98,0.029,0.021,,,,
2.94,0.019,0.014,,,,
2.93,0.014,0.002,,,,
2.89,0.012,0.002,,,,
2.90,0.027,0.008,1.04E-16,,1.18E-16,
2.97,0.020,0.018,,,,
2.95,0.032,0.011,2.81E-16,,2.99E-16,
2.90,0.015,0.002,,,,
2.73,0.070,0.068,5.92E-18,,1.48E-17,
2.93,0.025,0.021,9.48E-16,,1.05E-15,
2.96,0.064,0.062,4.93E-18,,6.91E-18,
2.96,0.052,0.004,,,,
2.73,0.015,0.008,2.96E-18,,7.90E-18,
2.81,0.023,0.014,3.95E-18,,9.87E-18,
2.81,0.036,0.025,,,,
2.78,0.091,0.089,,,,
2.92,0.004,0.001,,,,
2.82,0.020,0.002,,,,
2.80,0.036,0.010,,,,
2.83,0.037,0.010,,,,
2.63,0.026,0.017,,,,
2.92,0.049,0.003,,,,
2.81,0.049,0.010,,,,
2.71,0.020,0.008,,,,
2.85,0.070,0.020,,,,
2.84,0.015,0.005,,,,
2.88,0.050,0.020,,,,
2.88,0.138,0.134,1.58E-17,,2.86E-17,
2.90,0.035,0.026,,,,
2.90,0.144,0.142,5.92E-18,,1.18E-17,
2.92,0.029,0.027,1.97E-17,,2.47E-17,
2.78,0.167,0.158,1.96E-16,,3.24E-16,
2.91,0.019,0.013,3.95E-18,,1.09E-17,
2.70,0.108,0.101,2.46E-16,,3.32E-16,
2.92,0.031,0.026,8.88E-18,,1.97E-17,
2.90,0.043,0.029,,,,
2.71,0.075,0.070,1.34E-16,,2.17E-16,
2.96,0.011,0.001,,,,
,,0.000,,,,
3.01,0.007,0.004,1.22E-15,2.74E-16,1.36E-15,
3.08,0.025,0.022,7.90E-18,,1.68E-17,
2.96,0.018,0.016,2.96E-18,,8.88E-18,
2.96,0.007,0.005,,,,
2.95,0.030,0.006,,,,
2.94,0.030,0.007,,,,
2.80,0.045,0.034,,,,
2.87,0.054,0.020,5.92E-18,,6.91E-18,
2.78,0.050,0.046,,,,
2.89,0.030,0.029,1.66E-15,2.47E-16,1.77E-15,
2.89,0.171,0.170,3.65E-17,,7.30E-17,
2.95,0.031,0.008,2.76E-17,,3.26E-17,
2.88,0.088,0.084,3.26E-17,,4.93E-17,
2.86,0.026,0.003,1.88E-17,,2.17E-17,
2.80,0.195,0.190,2.47E-18,,6.42E-18,
2.89,0.140,0.093,,,,
2.95,0.058,0.035,,,,
2.86,0.020,0.010,,,,
,,,,,,
2.75,0.008,0.002,,,,
2.85,0.011,0.002,,,,
2.88,0.013,0.001,,,,
2.84,0.010,0.001,,,,
2.86,0.034,0.005,,,,
2.91,0.075,0.073,2.04E-16,,2.65E-16,
2.89,0.026,0.008,,,,
2.89,0.029,0.022,,,,
2.84,0.048,0.047,9.87E-19,,1.97E-18,
2.79,0.050,0.040,,,,
2.80,0.030,0.026,,,,
2.80,0.018,0.002,3.85E-17,,4.54E-17,
2.72,0.098,0.097,5.73E-15,,5.92E-15,
2.68,0.041,0.022,,,,
2.66,0.029,0.009,,,,
2.83,0.108,0.105,9.87E-19,,1.97E-18,
2.92,0.025,0.009,,,,
2.86,0.016,0.010,,,,
2.66,0.103,0.102,1.76E-16,6.91E-17,2.54E-16,
2.79,0.041,0.003,3.95E-18,,9.87E-18,
2.96,0.125,0.124,1.97E-18,,4.93E-18,
2.89,0.062,0.024,,,,
2.96,0.127,0.126,2.47E-17,,4.98E-17,
2.69,0.141,0.140,2.17E-17,,3.95E-17,
2.63,0.065,0.064,2.02E-17,,3.65E-17,
2.96,0.019,0.008,3.16E-17,,3.75E-17,
2.96,0.315,0.313,4.75E-15,4.18E-15,5.13E-15,
2.89,0.042,0.038,6.91E-18,,1.09E-17,
2.95,0.013,0.001,,,,
2.94,0.029,0.015,9.87E-19,,1.97E-18,
2.86,0.007,0.003,,,,
2.84,0.017,0.001,,,,
2.79,0.141,0.137,1.92E-16,1.97E-17,2.48E-16,
2.44,0.180,0.177,1.18E-15,1.48E-16,1.35E-15,
2.70,0.275,0.222,,,,
2.95,0.063,0.059,,,,
2.74,0.054,0.048,,,,
2.73,0.096,0.093,1.65E-14,8.96E-15,1.83E-14,
3.00,0.041,0.038,3.55E-17,9.87E-17,4.84E-17,
2.94,0.039,0.033,,,,
2.99,0.036,0.019,3.16E-17,,3.85E-17,
2.94,0.025,0.024,,,,
2.91,0.013,0.011,,,,
2.97,0.023,0.013,,,,
2.95,0.033,0.025,2.96E-18,,4.93E-18,
2.95,0.054,0.053,2.66E-17,,3.45E-17,
2.97,0.073,0.072,2.57E-16,3.95E-17,1.64E-16,
2.94,0.049,0.046,,,,
2.30,,0.056,1.16E-16,,1.63E-16,
2.53,,0.242,5.88E-15,1.40E-16,6.11E-15,
2.28,,0.015,1.18E-17,,2.27E-17,
2.39,,0.072,2.73E-16,5.92E-18,2.83E-16,
,,0.000,,,,
