mean_phi_weighted,sorting_phi_weighted,skewness_phi_weighted,mean_mm_weighted,mean_um_weighted,phi5,phi16,phi25,phi50,phi75,phi84,phi95,mean_phi_graphic,sorting_phi_graphic,skewness_phi_graphic,kurtosis_phi_graphic
6.386699815842297,2.2836330421756426,0.482045608819325,0.011951207371530596,11.951207371530597,9.965784284662087,9.965784284662087,9.17330303430151,6.146332731251684,4.4966080657205785,4.154413768808209,3.9335561100131278,6.755510261573993,-2.3668165948193725,-0.15723765899810338,0.5286264505917807
6.821165335843013,2.123545343033705,0.19579431284513205,0.008843509130180996,8.843509130180996,9.965784284662087,9.965784284662087,9.46681460850913,7.0608217839409315,5.2968445368045485,4.488922186104304,3.97664234615153,7.171842751569108,-2.276661272898621,-0.030406361972509146,0.5886292529765482
6.777357798269992,2.2824732308775517,0.22236353646638526,0.009116161519465467,9.116161519465466,9.965784284662087,9.965784284662087,9.965784284662087,6.922488450607598,4.684876297627317,4.3631811955820465,4.0245762360620105,7.083817976950577,-2.3008338099366883,-0.04319318817821243,0.461080052402254
5.549664151813511,2.077088499318847,1.2914445844958016,0.021349348395632628,21.349348395632628,9.965784284662087,8.337343523071366,6.320041116380831,4.9161210928270265,4.4123167705882445,4.275491221375439,4.000673892036568,5.842985279091277,-1.9192676803672426,-0.3422813475556192,1.2814835536478753
6.316562203670811,2.347074597730522,0.49189703460332296,0.01254657847177837,12.546578471778371,9.965784284662087,9.965784284662087,9.247598151522816,5.936302854126395,4.432745993029126,4.272431079144595,3.9761425389578258,6.724839405977693,-2.330859778001231,-0.20775187926698035,0.5098331426283735
6.672094746543086,2.3820082346790152,0.18937675657971606,0.009806168407316374,9.806168407316374,9.965784284662087,9.965784284662087,9.965784284662087,6.814155117274266,4.4904593620275595,4.165647406070204,3.926098578677191,6.981862269335519,-2.365138114494167,-0.043371515768943686,0.45207929429181254
6.179392801852029,2.361700953577372,0.619013048780791,0.01379804038241823,13.79804038241823,9.965784284662087,9.965784284662087,9.096611300395649,5.260604896198797,4.398080047671945,4.2775852898167965,3.9919935671010154,6.501324823559227,-2.327169554402394,-0.3271826271772799,0.5210723846578851
6.246865539275844,2.1664802984566705,0.6925878299803234,0.013167583886730658,13.167583886730657,9.965784284662087,9.965784284662087,8.342847100396629,5.879685179907912,4.566372203775996,4.406742396361056,4.211639298409463,6.750737286977018,-2.2616006215074735,-0.23503657408182962,0.6244596366884609
6.434770873568414,2.353694042066226,0.44632263356186286,0.011559550638873591,11.559550638873592,9.965784284662087,9.965784284662087,9.626149463078983,6.158562319033663,4.450946566893262,4.31311123502944,4.1031125092884615,6.812485946241729,-2.301451864737499,-0.17352594643269623,0.46427828673932875
7.787548641436041,1.939342270525473,-0.13564781044046229,0.00452599704672245,4.52599704672245,9.965784284662087,9.965784284662087,9.965784284662087,8.192010595129743,6.469257158090591,5.855392610322433,5.048565458688245,8.004395830038087,-1.7726310740354958,0.06846601733706897,0.5763586393732465
