Grain size percentage. grain size in 10^(-6) m,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horizontal permeability (mDarcy),Grain density (g/cm3),Helium porosity (dimensionless)
0-2,2-4,4-8,8-16,16-25,25-35,35-50,50-63,63-75,75-88,88-105,105-125,125-150,150-177,177-210,210-250,250-300,300-354,354-420,420-500,500-600,600-707,707-850,850-1000,1000-1190,1190-1410,1410-1680,1680-2000,Horizontal permeability (mDarcy),Grain density (g/cm3),Helium porosity (dimensionless)
2.1,1.9,2.9,2.3,1.6,1.2,1.5,2.8,7.3,21.1,29.7,22.4,2.2,0.6,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,2520,2.66,0.376
1.9,2.5,3.3,2.3,1.4,0.8,1.1,2.4,6.2,19.4,28.7,25.4,3.4,0.8,0.2,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,516,2.67,0.325
1.4,2.5,3,2.5,1.2,0.7,0.9,1.2,6.4,20.4,29.3,26,3.5,0.8,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1370,2.66,0.367
1.4,2,3.1,2.6,1.7,1,1.6,1.4,7.8,19.1,28.1,23.1,2.7,0.7,0.2,0.4,0.6,1.1,0.7,0.2,0.3,0.1,0.1,0,0,0,0,0,748,2.66,0.341
1.7,2.7,3.8,2.8,1.5,0.8,1.3,0.7,6.2,15.3,31.3,25.7,2.9,1,0.2,0.3,0.4,0.5,0.5,0.2,0.2,0,0,0,0,0,0,0,793,2.67,0.353
1.1,1.3,2.4,1.9,1.3,0.8,1.4,1.7,5.2,15.6,32.1,29,3.2,1.3,0.2,0.2,0.3,0.4,0.3,0.1,0.1,0.1,0,0,0,0,0,0,1270,2.66,0.356
1.3,2,3.3,2.5,1.5,0.7,1.3,0.8,4.6,13.1,32.7,30.5,3.4,1.6,0.2,0.1,0.1,0.1,0.2,0,0,0,0,0,0,0,0,0,1550,2.65,0.381
1.8,1.9,3.6,3,1.9,1.2,1.4,0.4,5.5,18.4,32.7,24.1,2,1.2,0.3,0.1,0.1,0.2,0.2,0,0,0,0,0,0,0,0,0,620,2.65,0.343
1.1,1.5,2.5,2,1.5,0.9,1.5,1.2,6.2,19.1,35.4,22.4,1.8,1.7,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0,0,0,1180,2.65,0.355
0.9,1.3,2,1.8,1.2,0.8,1.2,1,6.9,22.2,30,21.9,3.8,3.5,0.9,0.3,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,1550,2.65,0.356
0.8,1,1.7,1.6,1.2,0.8,1.2,1.7,6.1,17.6,30.5,24.9,4.1,4.9,1.2,0.3,0.2,0.1,0,0,0,0,0.1,0,0,0,0,0,1670,2.65,0.348
